feature,importance
HRV_MeanNN,0.46198777134242286
HRV_pNN50,0.16941714783981604
HRV_RMSSD,0.1389445770804485
HRV_SDNN,0.08780302207974809
HRV_HF,0.0549226161380043
HRV_LFHF,0.05275708398884807
HRV_LF,0.03416778153071205
